"Geo Code","Geo Name","Line Number"
"2021A0011K7C","K7C",1144922
"2021A0011K7G","K7G",1146546
"2021A0011K7H","K7H",1148170
"2021A0011K7K","K7K",1149794
"2021A0011K7L","K7L",1151418
"2021A0011K7M","K7M",1153042
"2021A0011K7N","K7N",1154666
"2021A0011K7P","K7P",1156290
"2021A0011K7R","K7R",1157914
"2021A0011K7S","K7S",1159538
"2021A0011K7V","K7V",1161162
"2021A0011K8A","K8A",1162786
"2021A0011K8B","K8B",1164410
"2021A0011K8H","K8H",1166034
"2021A0011K8N","K8N",1167658
"2021A0011K8P","K8P",1169282
"2021A0011K8R","K8R",1170906
"2021A0011K8V","K8V",1172530
"2021A0011K9A","K9A",1174154
"2021A0011K9H","K9H",1175778
"2021A0011K9J","K9J",1177402
"2021A0011K9K","K9K",1179026
"2021A0011K9L","K9L",1180650
"2021A0011K9V","K9V",1182274
"2021A0011L0A","L0A",1183898
"2021A0011L0B","L0B",1185522
"2021A0011L0C","L0C",1187146
"2021A0011L0E","L0E",1188770
"2021A0011L0G","L0G",1190394
"2021A0011L0H","L0H",1192018
"2021A0011L0J","L0J",1193642
"2021A0011L0K","L0K",1195266
"2021A0011L0L","L0L",1196890
"2021A0011L0M","L0M",1198514
"2021A0011L0N","L0N",1200138
"2021A0011L0P","L0P",1201762
"2021A0011L0R","L0R",1203386
"2021A0011L0S","L0S",1205010
"2021A0011L1A","L1A",1206634
"2021A0011L1B","L1B",1208258
"2021A0011L1C","L1C",1209882
"2021A0011L1E","L1E",1211506
"2021A0011L1G","L1G",1213130
"2021A0011L1H","L1H",1214754
"2021A0011L1J","L1J",1216378
"2021A0011L1K","L1K",1218002
"2021A0011L1L","L1L",1219626
"2021A0011L1M","L1M",1221250
"2021A0011L1N","L1N",1222874
"2021A0011L1P","L1P",1224498
"2021A0011L1R","L1R",1226122
"2021A0011L1S","L1S",1227746
"2021A0011L1T","L1T",1229370
"2021A0011L1V","L1V",1230994
"2021A0011L1W","L1W",1232618
"2021A0011L1X","L1X",1234242
"2021A0011L1Y","L1Y",1235866
"2021A0011L1Z","L1Z",1237490
"2021A0011L2A","L2A",1239114
"2021A0011L2E","L2E",1240738
"2021A0011L2G","L2G",1242362
"2021A0011L2H","L2H",1243986
"2021A0011L2J","L2J",1245610
"2021A0011L2M","L2M",1247234
"2021A0011L2N","L2N",1248858
"2021A0011L2P","L2P",1250482
"2021A0011L2R","L2R",1252106
"2021A0011L2S","L2S",1253730
"2021A0011L2T","L2T",1255354
"2021A0011L2V","L2V",1256978
